kod pocztowy,miasto
50-001,Wrocław,
50-002,Wrocław,
50-003,Wrocław,
50-004,Wrocław,
50-005,Wrocław,
50-006,Wrocław,
50-007,Wrocław,
50-008,Wrocław,
50-009,Wrocław,
50-010,Wrocław,
50-011,Wrocław,
50-012,Wrocław,
50-013,Wrocław,
50-013,Wrocław,
50-014,Wrocław,
50-015,Wrocław,
50-016,Wrocław,
50-017,Wrocław,
50-018,Wrocław,
50-018,Wrocław,
50-019,Wrocław,
50-020,Wrocław,
50-021,Wrocław,
50-022,Wrocław,
50-023,Wrocław,
50-023,Wrocław,
50-024,Wrocław,
50-024,Wrocław,
50-024,Wrocław,
50-026,Wrocław,
50-026,Wrocław,
50-027,Wrocław,
50-027,Wrocław,
50-027,Wrocław,
50-028,Wrocław,
50-028,Wrocław,
50-029,Wrocław,
50-029,Wrocław,
50-030,Wrocław,
50-031,Wrocław,
50-032,Wrocław,
50-032,Wrocław,
50-033,Wrocław,
50-034,Wrocław,
50-035,Wrocław,
50-035,Wrocław,
50-036,Wrocław,
50-036,Wrocław,
50-037,Wrocław,
50-038,Wrocław,
50-039,Wrocław,
50-040,Wrocław,
50-042,Wrocław,
50-043,Wrocław,
50-043,Wrocław,
50-044,Wrocław,
50-045,Wrocław,
50-046,Wrocław,
50-046,Wrocław,
50-047,Wrocław,
50-048,Wrocław,
50-049,Wrocław,
50-050,Wrocław,
50-051,Wrocław,
50-051,Wrocław,
50-052,Wrocław,
50-053,Wrocław,
50-054,Wrocław,
50-055,Wrocław,
50-056,Wrocław,
50-056,Wrocław,
50-056,Wrocław,
50-057,Wrocław,
50-059,Wrocław,
50-060,Wrocław,
50-061,Wrocław,
50-062,Wrocław,
50-063,Wrocław,
50-064,Wrocław,
50-065,Wrocław,
50-066,Wrocław,
50-067,Wrocław,
50-068,Wrocław,
50-069,Wrocław,
50-070,Wrocław,
50-070,Wrocław,
50-070,Wrocław,
50-071,Wrocław,
50-071,Wrocław,
50-071,Wrocław,
50-071,Wrocław,
50-072,Wrocław,
50-072,Wrocław,
50-073,Wrocław,
50-074,Wrocław,
50-075,Wrocław,
50-076,Wrocław,
50-076,Wrocław,
50-077,Wrocław,
50-078,Wrocław,
50-079,Wrocław,
50-079,Wrocław,
50-079,Wrocław,
50-080,Wrocław,
50-082,Wrocław,
50-082,Wrocław,
50-083,Wrocław,
50-084,Wrocław,
50-085,Wrocław,
50-086,Wrocław,
50-087,Wrocław,
50-088,Wrocław,
50-089,Wrocław,
50-090,Wrocław,
50-101,Wrocław,
50-102,Wrocław,
50-103,Wrocław,
50-103,Wrocław,
50-104,Wrocław,
50-105,Wrocław,
50-105,Wrocław,
50-106,Wrocław,
50-107,Wrocław,
50-107,Wrocław,
50-107,Wrocław,
50-108,Wrocław,
50-109,Wrocław,
50-110,Wrocław,
50-111,Wrocław,
50-111,Wrocław,
50-111,Wrocław,
50-112,Wrocław,
50-113,Wrocław,
50-114,Wrocław,
50-115,Wrocław,
50-115,Wrocław,
50-116,Wrocław,
50-117,Wrocław,
50-118,Wrocław,
50-119,Wrocław,
50-120,Wrocław,
50-121,Wrocław,
50-122,Wrocław,
50-123,Wrocław,
50-123,Wrocław,
50-124,Wrocław,
50-125,Wrocław,
50-126,Wrocław,
50-127,Wrocław,
50-128,Wrocław,
50-129,Wrocław,
50-130,Wrocław,
50-131,Wrocław,
50-132,Wrocław,
50-133,Wrocław,
