id,www,nip,blad,
136,www.spedition-atl.pl,1182019996,java.net.UnknownHostException: www.spedition-atl.pl,
367,www.kzpt.pl,6180041540,org.jsoup.HttpStatusException: HTTP error fetching URL. Status=500, URL=http://www.kzpt.pl,
374,www.innoagh.pl,6772340727,org.jsoup.HttpStatusException: HTTP error fetching URL. Status=404, URL=http://www.innoagh.pl,
387,www.metro-together.ngb.pl,6922481146,org.jsoup.HttpStatusException: HTTP error fetching URL. Status=404, URL=http://metro-together.ngb.pl/,
707,www.kreatywnefoto.pl,6772206911,java.net.UnknownHostException: www.kreatywnefoto.pl,
851,www.kancelaria-adwokacka-lodz.com,7282189301,java.net.ConnectException: Przekroczony czas oczekiwania na połączenie,
874,www.adwokat.ckg.pl,6111530721,org.jsoup.HttpStatusException: HTTP error fetching URL. Status=500, URL=http://www.adwokat.ckg.pl,
945,www.aqua-rain.pl,6792945600,org.jsoup.HttpStatusException: HTTP error fetching URL. Status=503, URL=http://aqua-rain.pl/index.php?main_page=down_for_maintenance&zenid=a742ecbe416f3fa0c1c8c495af794f2f,
1289,www.primed-poznan.pl,7811679555,org.jsoup.HttpStatusException: HTTP error fetching URL. Status=403, URL=http://www.primed-poznan.pl,
1443,www.agus-firma.pl.tl,5272378672,org.jsoup.HttpStatusException: HTTP error fetching URL. Status=410, URL=http://www.agus-firma.pl.tl,
1729,www.mikolajkrol.pl,7822046405,org.jsoup.HttpStatusException: HTTP error fetching URL. Status=403, URL=http://www.mikolajkrol.pl,
2517,www.plywak.bytom.pl,6262596876,org.jsoup.HttpStatusException: HTTP error fetching URL. Status=403, URL=http://www.aftermarket.pl/domena/plywak.bytom.pl?nostat=1&test_a=0&utm_source=direct_entry,
2925,www.zgloszenie.felixrtv.pl,6111644301,org.jsoup.HttpStatusException: HTTP error fetching URL. Status=404, URL=http://www.zgloszenie.felixrtv.pl,

